Name,Probability
DB08358,0.82
DB05713,0.8133333333333334
DB00323,0.8101449275362319
DB01123,0.8066666666666666
DB07382,0.8
DB13158,0.8
DB07993,0.7866666666666666
DB07855,0.7866666666666666
DB04289,0.7733333333333333
DB12027,0.7733333333333333
DB12558,0.7733333333333333
DB07728,0.7733333333333333
DB07854,0.7733333333333333
DB07856,0.76
DB07640,0.76
DB02255,0.76
DB09081,0.7533333333333333
DB08036,0.7533333333333333
DB00240,0.7533333333333333
DB02166,0.7533333333333333
DB01668,0.7480936454849498
DB08331,0.7466666666666667
DB12522,0.7466666666666667
DB08751,0.7466666666666667
DB05501,0.7466666666666667
DB04064,0.7438704177323103
DB12332,0.74
DB00764,0.74
DB00596,0.74
DB03921,0.74
DB04011,0.7333333333333333
DB11561,0.7333333333333333
DB07131,0.7333333333333333
DB08950,0.7333333333333333
DB08091,0.7333333333333333
DB11750,0.7333333333333333
DB07152,0.7333333333333333
DB07145,0.7266666666666667
DB07340,0.7266666666666667
DB12886,0.7266666666666667
DB07025,0.7266666666666667
DB12306,0.7266666666666667
DB12746,0.7266666666666667
DB12368,0.7266666666666667
DB00697,0.7266666666666667
DB13991,0.72
DB13843,0.72
DB02882,0.72
DB04014,0.72
DB07973,0.72
DB02962,0.72
DB07163,0.72
DB07462,0.7168115942028985
DB04631,0.7133333333333334
DB06435,0.7133333333333334
DB00484,0.7133333333333334
DB01939,0.7133333333333334
DB01938,0.7133333333333334
DB04669,0.7133333333333334
DB12507,0.7133333333333334
DB00998,0.7133333333333334
DB12964,0.7133333333333334
DB06923,0.7066666666666667
DB08450,0.7066666666666667
DB03506,0.7066666666666667
DB00382,0.7066666666666667
DB03383,0.7066666666666667
DB07974,0.7066666666666667
DB07453,0.7031515151515151
DB08184,0.7
DB14570,0.7
DB12081,0.7
DB08690,0.7
DB07608,0.7
DB01767,0.7
DB01471,0.7
DB03672,0.7
DB08056,0.7
DB08052,0.7
DB05680,0.7
DB07972,0.7
DB08689,0.7
DB08553,0.7
DB12690,0.7
DB01564,0.7
DB01521,0.6933333333333334
DB07315,0.6933333333333334
DB08973,0.6933333333333334
DB00248,0.6933333333333334
DB14584,0.6933333333333334
DB08300,0.6933333333333334
DB11636,0.6933333333333334
DB13066,0.6933333333333334
DB11706,0.6933333333333334
DB12121,0.6933333333333334
DB07021,0.6933333333333334
DB06786,0.6933333333333334
DB11529,0.6866666666666666
DB12566,0.6866666666666666
DB09244,0.6866666666666666
DB03177,0.6866666666666666
DB06603,0.6866666666666666
DB13129,0.6866666666666666
DB12952,0.6866666666666666
DB09383,0.6866666666666666
DB06457,0.6866666666666666
DB00635,0.6866666666666666
DB04617,0.6866666666666666
DB01260,0.6866666666666666
DB07037,0.6866666666666666
DB08345,0.6866666666666666
DB12223,0.6866666666666666
DB06942,0.6866666666666666
DB07005,0.6866666666666666
DB11793,0.6866666666666666
DB07794,0.6866666666666666
DB02354,0.6866666666666666
DB02113,0.6866666666666666
DB14631,0.6866666666666666
DB01125,0.6859654686398872
DB00838,0.68
